shop,name,url,price,score,trading,review
愉家居家日用专营店,陶瓷刀菜刀切水果肉片刀厨房刀具氧化锆大菜刀家用厨刀锋利切肉刀,https://detail.tmall.com/item.htm?id=526184030407&skuId=3132260175849&user_id=1882714749&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,89.00,1726.0,431笔,864
炊大皇旗舰,炊大皇刀具套装 厨房家用菜刀组合全套不锈钢刀具套刀厨具德国,https://detail.tmall.com/item.htm?id=26056724937&skuId=3407002558226&user_id=735011836&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,148.00,21338.0,8130笔,5078
沃生旗舰店,不锈钢德国切菜刀家用厨房刀具切片刀锻打小菜刀锋利手工切肉刀,https://detail.tmall.com/item.htm?id=41660636599&skuId=3110493142526&user_id=1640281828&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,34.00,7662.0,529笔,6604
康百居家居旗舰店,康百居 陶瓷刀具菜刀 厨用刀具 陶瓷刀 菜刀 陶瓷菜刀 切片刀菜刀,https://detail.tmall.com/item.htm?id=44576405336&skuId=81519341099&user_id=2454217167&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,29.80,6709.0,1144笔,4421
saber旗舰店,SABER菜刀 家用德国不锈钢切菜刀切片刀切肉刀厨师刀具西式主厨刀,https://detail.tmall.com/item.htm?id=43939728667&skuId=3104318161607&user_id=2362719160&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,138.00,1432.0,263笔,906
deslon德世朗大迈专卖店,德世朗不锈钢刀具小肉刀菜刀 德国工艺厨房切片刀家用厨刀切菜刀,https://detail.tmall.com/item.htm?id=520002625928&skuId=3100015782370&user_id=2454154739&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,109.00,3202.0,160笔,2882
wishing海外专营店,德国进口双立人切肉刀中片刀菜刀切片刀双立人刀具切菜刀套装,https://detail.tmall.com/item.htm?id=535531087691&skuId=3218695886330&user_id=2242369532&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,328.00,823.0,330笔,163
张小泉富寰专卖店,张小泉锋颖菜刀居家日用厨房刀具 不锈钢切片刀专业切菜刀切肉刀,https://detail.tmall.com/item.htm?id=526187265690&skuId=3201180126249&user_id=2732426150&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,89.00,4289.0,997笔,2295
陶正旗舰店,陶正陶瓷刀套装 德国厨房刀具套装 菜刀切肉刀切片刀水果刀厨房刀,https://detail.tmall.com/item.htm?id=536101108092&skuId=3199349113138&user_id=1027236195&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,139.00,2026.0,657笔,712
苏泊尔厨美居专卖店,苏泊尔刀具套装 不锈钢厨房刀具套装组合七件套切片刀砍骨刀菜刀,https://detail.tmall.com/item.htm?id=527558815849&skuId=3216667306079&user_id=2088650303&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,179.00,2080.0,627笔,826
